Date  ,Time,Temperature (ºC),Luminosity (lux)
2023-06-12,11:48,27.5,1192.32
2023-06-12,12:08,27.5,1215.36
2023-06-12,12:28,27.69,961.92
2023-06-12,12:48,28.06,1071.36
2023-06-12,13:08,28.31,1036.8
2023-06-12,13:29,28.56,535.68
2023-06-12,13:49,28.75,910.08
2023-06-12,14:09,28.94,1036.8
2023-06-12,14:29,29.0,581.76
2023-06-12,14:49,29.31,1272.96
2023-06-12,15:09,29.63,1497.6
2023-06-12,15:29,29.81,1209.6
2023-06-12,15:50,29.75,1163.52
2023-06-12,15:50,29.75,1163.52
2023-06-12,16:10,29.81,682.56
2023-06-12,16:30,29.94,1175.04
2023-06-12,16:51,29.87,1071.36
2023-06-12,17:11,29.75,938.88
2023-06-12,17:11,29.75,938.88
2023-06-12,17:31,29.81,731.52
2023-06-12,17:51,29.75,771.84
2023-06-12,18:13,29.69,662.4
2023-06-12,18:33,29.5,610.56
2023-06-12,18:55,29.31,550.08
2023-06-12,19:15,29.44,679.68
2023-06-12,19:15,29.44,679.68
2023-06-12,19:56,29.06,227.52
2023-06-12,20:17,28.81,231.84
2023-06-12,20:58,28.56,91.44
2023-06-12,21:18,28.31,36.36
2023-06-12,21:39,28.12,10.44
2023-06-12,21:39,28.12,10.44
2023-06-12,22:20,27.81,1.3
2023-06-12,22:40,27.69,1.22
2023-06-12,23:00,27.5,1.22
2023-06-12,23:20,27.37,1.17
2023-06-12,23:20,27.37,1.17
2023-06-12,23:41,27.19,1.17
2023-06-13,00:01,27.13,1.22
2023-06-13,00:21,27.0,1.22
2023-06-13,00:42,26.87,1.12
2023-06-13,01:02,26.75,1.17
2023-06-13,01:02,26.75,1.17
2023-06-13,01:22,26.69,1.12
2023-06-13,01:42,26.56,1.12
2023-06-13,02:02,26.5,1.22
2023-06-13,02:02,26.5,1.22
2023-06-13,02:22,26.37,1.12
2023-06-13,02:42,26.25,0.45
2023-06-13,03:02,26.19,0.45
2023-06-13,03:22,26.12,0.45
2023-06-13,03:42,26.0,0.45
2023-06-13,04:03,25.88,0.45
2023-06-13,04:23,25.81,0.9
2023-06-13,04:43,25.62,5.76
2023-06-13,04:43,25.62,5.76
2023-06-13,05:03,25.56,33.12
2023-06-13,05:45,25.37,168.48
2023-06-13,06:06,25.31,293.76
2023-06-13,06:26,25.31,391.68
2023-06-13,06:47,25.25,466.56
2023-06-13,07:08,25.19,555.84
2023-06-13,07:29,25.37,642.24
2023-06-13,07:29,25.37,642.24
2023-06-13,07:50,25.44,708.48
2023-06-13,08:10,25.5,771.84
2023-06-13,08:31,25.37,852.48
2023-06-13,08:51,25.06,950.4
2023-06-13,09:11,25.94,2016.0
2023-06-13,09:31,25.69,1474.56
2023-06-13,09:51,27.06,1877.76
2023-06-13,10:11,26.87,1877.76
2023-06-13,10:31,27.75,1877.76
2023-06-13,10:51,26.87,1445.76
2023-06-13,11:57,27.06,1342.08
2023-06-13,12:18,27.19,1359.36
2023-06-13,12:39,27.44,1388.16
2023-06-13,13:02,27.75,1382.4
